Augunas, Kazys
Augunas, Petras
Augustaitis, Jonas
Augustaitis, Pijus
Augustinaitis, Aleksas
Augustinaitis, Stasys
Augustinas, Jonas
Augustinavicius, Augustas
Augustinavicius, Vincas
Augutis, Stasys
Auksciunas, Pranas
Aukstuolis, Jonas
Aukstuolis, Vincas
Aulinskas, Jonas
Ausiura, Juozas Kostas
Ausrota, Jonas
Ausrota, Juozas
Austra, Jonas
Austrevicius, Ignas
Autukas, Jonas
Avenas, Jonas
Avidonas, Ruvinas
Avizienis, Antanas
Avizienis, Kazys
Avizienis, Stasys
Avizinis, Domas
Avizius, Antanas
Avizius, Benjaminas
Avizius, Juozas
Avizius, Vincas
Ablamas, Lauras
Abraitis, Justinas
Abraitis, Vincas
Abramavicius, Aleksas
Abramavicius, Bronius
Abramavicius, Juozas
Abramavicius, Povilas
Abramikas, Antanas
Abrila, Juozas
Abromaitis, Pranas
Abromavicius, Stasys
Abukauskas, Antanas
Achberas, Chone
Achbertas, Abromas
Adakauskas, Juozas
Adamavicius, Antanas
Adamavicius, Jonas
Adamkavicius, Eduardas
Adamkevicius, Edvardas
Adamonis, Albinas Julius
Adamonis, Antanas
Adamonis, Vacys
Adamukaitis, Simas
Adlys, Stasys
Adomaitis, Antanas
Adomaitis, Jonas
Adomaitis, Juozas
Adomaitis, Jurgis
Adomaitis, Kazys
Adomaitis, Motiejus
Adomaitis, Petras
Adomaitis, Stasys
Adomaitis, Viktoras Jonas
Adomaitis, Vincas
Adomauskas, Kazys
Adomavicius, Aleksas
Adomavicius, Alfonsas
Adomavicius, Alfonsas Mirvaldas
Adomavicius, Antanas
Adomavicius, Jonas
Adomavicius, Juozas
Adomavicius, Mikas
Adomavicius, Vacys
Adomeckis, Antanas
Adomenas, Juozas
Adomkevicius, Adomas
Adomonis, Adolfas
Adomonis, Jonas
Adomonis, Juozas
Adukauskas, Jurgis
Afanasjevas, Andrius
Agintas, Juozas
Aglinskas, Antanas
Aglinskas, Jurgis
Aglinskas, Motiejus
Aglinskas, Petras
Agonis, Matas
Aizinas, Pranas
Ajauskas, Adolfas
Akelaitis, Jonas
Akelis, Liudas
Akmenskis, Leonardas
Aksamitauskas, Juozas
Aksamitauskas, Vincas
Aksentis, Pranas
Akstinas, Kazys
Akstinavicius, Juozas
Akstinavicius, Jurgis
Akucevicius, Vaitiekus
Akulevicius, Kazys
Akutis, Jurgis
Alasauskas, Vladas
Albaitis, Simas
Albertynas, Pijus
Albsteris, Juozas
Alciauskas, Petras
Alciunas, Bronius
Aldonis, Albinas
Aldonis, Jonas
Alekna, Petras
Aleknavicius, Aloyzas
Aleknavicius, Antanas
Aleknavicius, Jonas
Aleknavicius, Juozas
Aleknavicius, Kazys
Aleknavicius, Mykolas
Aleknavicius, Viktoras
Aleksa, Juozas
Aleksa, Pranas
Aleksaitis, Salemonas
Aleksandravicius, Vincas Bronius
Aleksandravicius, Adolfas
Aleksandravicius, Antanas
Aleksandravicius, Jurgis
Alekseriunas, Grigalius
Aleksiejevas, Vladimiras
Aleksiejunas, Antanas
Aleksiunas, Pranas
Aleksynas, Juozas
Aleksynas, Motiejus
Aleksynas, Vladas
Aleliunas, Bronius
Aleliunas, Kazys
Aleliunas, Pranas
Aleskevicius, Petras
Alijauskas, Jonas
Alilionis, Petras
Alionis, Stasys
Alionis, Vladas
Alisanskas, Ignas
Alisauskas, Adolfas
Alisauskas, Andrius
Alisauskas, Bronius
Alisauskas, Julius
Alisauskas, Juozas
Alisauskas, Kazys
Alisauskas, Matas
Alisauskas, Petras
Alisauskas, Silvas
Alisauskas, Viktoras
Aliukonis, Feliksas
Alksninis, Vaclovas
Alminauskas, Jurgis
Alsauskas, Juozas
Alsauskas, Klemas
Alsys, Juozas
Altervainas, Samuilas
Amanavicius, Juozas
Ambrasas, Pranas
Ambrasas, Silvestras
Ambraska, Antanas
Ambraska, Dionyzas
Ambraska, Rapolas
Ambraska, Vacys
Ambraska, Vincas
Ambrazas, Jonas
Ambrazas, Vincas
Ambrazevicius, Jurgis
Ambrazevicius, Kazys
Ambrazevicius, Pranas
Ambraziejus, Kazys
Ambraziunas, Pranas
Ambrozaitis, Stasys
Ambrozas, Izidorius
Ambrozas, Juozas
Ambrozevicius, Bronius
Ambrozevicius, Jonas
Ambrozevicius, Petras
Ambrozevicius, Pranas
Ambrulaitis, Antanas
Ananavicius, Pranas
Ananka, Viktoras
Ancerevicius, Pranas
Ancevicius, Vacius
Andrasius, Vladas
Andrasunas, Ksaveras
Andrejauskas, Stasys
Andrejunas, Vincas
Andrekus, Kazys
Andreliunas, Antanas
Andriejauskas, Nikodemas
Andrijaitis, Aleksas
Andrijauskas, Adolfas
Andrijauskas, Alfonsas
Andrijauskas, Antanas
Andrijauskas, Balys
Andrijauskas, Jonas
Andrijauskas, Juozas
Andrijauskas, Kazys
Andrikonis, Antanas
Andrikonis, Petras
Andriukaitis, Antanas
Andriukaitis, Jonas
Andriukaitis, Petras
Andriulaitis, Evaldas Gustavas
Andriulaitis, Matas
Andriulaitis, Petras
Andriulis, Balys
Andriunaitis, Jonas
Andriunas, Antanas
Andriunas, Izidorius
Andriunas, Jonas
Andriunas, Juozas
Andriunas, Kazys
Andrius, Juozas
Andriusaitis, Jonas
Andriusaitis, Pijus
Andriusaitis, Vincas
Andriusis, Jonas
Andriusis, Juozas
Andriusis, Jurgis
Andriusis, Stasys
Andriuskevicius, Antanas
Andriuskevicius, Jonas
Andriuskevicius, Kazys
Andriuskevicius, Vacius
Andrulis, Kazys
Andruska, Simas
Andruskevicius, Jonas Steponas
Andruskevicius, Juozas
Andruskevicius, Jurgis
Andzejauskas, Juozas
Andziulaitis, Adomas
Andziulis, Juozas
Anelauskas, Juozas
Angeleika, Petras
Anikevicius, Bronius
Aniukstis, Juozas
Aniulis, Stasys
Ankenas, Kazys
Antanaitis, Alfonsas
Antanaitis, Ambroziejus
Antanaitis, Antanas
Antanaitis, Ignas
Antanaitis, Jonas
Antanaitis, Juozas
Antanaitis, Stasys
Antanas, Jonas
Antanavicius, Antanas
Antanavicius, Domas
Antanavicius, Juozas
Antanavicius, Kazys
Antanavicius, Leonas
Antanavicius, Pranas
Antanavicius, Stasys
Antanavicius, Vaclovas
Antosevicius, Juozas
Anufrevicius, Balys
Anukas, Bernardas
Anusas, Ignas
Anusevicius, Viktoras
Anuzis, Stasys
Anza, Vincas
Apanavicius, Jonas
Aperavicius, Kazys
Apsega, Liudas
Apyrubis, Bronius
Apzeltis, Pranas
Araciauskas, Balys
Araminas, Giliaras
Aranauskas, Vincas
Aravicius, Feliksas
Arbacauskas, Juozas
Arbaciauskas, Vincas
Arbasauskas, Stasys
Arbatauskas, Kazys
Arbuzas, Ottonas Viktoras
Arcimavicius, Mikas
Arcisauskas, Juozas
Ardavicius, Antanas
Ardavicius, Balys
Ardickas, Aleksandras
Ardzijauskas, Juozas
Areima, Stepas
Arinicius, Vladas
Arkusauskas, Petras
Arkusauskas, Stasys
Arlauskas, Antanas
Arlauskas, Jonas
Arlauskas, Juozas
Arlauskas, Juozas Kostas
Arlauskas, Stasys
Arlauskas, Vincas
Arlauskas, Zigmas
Armaitis, Albinas
Arminas, Jonas
Arminas, Pranas
Armonas, Antanas
Armonavicius, Kazys
Arstikaitis, Pranas
Arstikys, Apolinaras
Arvasevicius, Antanas
Asakenas, Povilas
Asauskas, Petras
Asevicius, Stasys Vladas
Asijavicius, Antanas
Asijavicius, Jonas
Asipavicius, Liudas
Asmena, Pranas
Asmenskas, Jonas
Astasauskas, Jonas
Astasauskas, Jurgis
Astasevicius, Antanas
Astras-Astramskas, Juozas
Astrauskas, Antanas
Astrauskas, Ignas
Astrauskas, Juozas
Astrauskas, Jurgis
Astrauskas, Kazys
Astrauskas, Petras
Astrauskas, Vladas
Astromskas, Bernardas
Astupenas, Jurgis
Asutaitis, Kazys
Atkociunas, Jonas
Atkocius, Alfonsas
Atraskevicius, Kazys
Atstopas, Antanas
Auciunas, Matas
Audenis, Adolfas
Audenis, Antanas
Audrevicius, Jonas
Augaitis, Pranas
Auglys, Stasys
Augulis, Ignas
Augulis, Jonas
Augulis, Kazys
Augulis, Leonas
Augulis, Mecys
Augulis, Pranas
Augulis, Vladas
Augunas, Jonas
